"OTUvec1"	"OTUvec2"	"tau"	"p_value"
"88"	"Otu00010"	"Otu00014"	0.0354897299916124	0.779915074781672
"89"	"Otu00011"	"Otu00014"	-0.0994549328694455	0.437669208537762
"90"	"Otu00012"	"Otu00014"	0.341504800905387	0.00305840473957542
"91"	"Otu00013"	"Otu00014"	0.0801419820317747	0.500411154852917
"92"	"Otu00001"	"Otu00015"	-0.293390777672308	0.0130637037325734
"93"	"Otu00002"	"Otu00015"	-0.237143911045313	0.0438717430206292
"94"	"Otu00003"	"Otu00015"	0.648220536212779	1.90544202638421e-09
"95"	"Otu00004"	"Otu00015"	0.404132689394637	0.000254287228631078
"96"	"Otu00005"	"Otu00015"	-0.0990708887870711	0.384366840120781
"97"	"Otu00006"	"Otu00015"	0.560602377101873	4.96350890832886e-07
"98"	"Otu00007"	"Otu00015"	0.3095618243009	0.00489790285637515
"99"	"Otu00008"	"Otu00015"	0.381691864154633	0.000714253769814599
"100"	"Otu00009"	"Otu00015"	0.690484681387921	6.52208509421826e-10
"101"	"Otu00010"	"Otu00015"	-0.137648857320003	0.252091062534488
"102"	"Otu00011"	"Otu00015"	-0.142427591055108	0.240149375680255
"103"	"Otu00012"	"Otu00015"	0.627759723800878	8.90349816096148e-09
"104"	"Otu00013"	"Otu00015"	0.53912047616446	1.67968991537926e-06
"105"	"Otu00014"	"Otu00015"	0.21526906196672	0.0641739880979377
"106"	"Otu00001"	"Otu00016"	-0.229781776574813	0.0611623406758125
"107"	"Otu00002"	"Otu00016"	0.272077558963519	0.0259422863874232
"108"	"Otu00003"	"Otu00016"	0.191438484624649	0.0874635452002763
"109"	"Otu00004"	"Otu00016"	0.54455684402563	2.04819769544784e-06
"110"	"Otu00005"	"Otu00016"	-0.351748972452485	0.00292846183464353
"111"	"Otu00006"	"Otu00016"	0.315080962643796	0.00648277246176265
"112"	"Otu00007"	"Otu00016"	0.0862196957067424	0.450240457116871
"113"	"Otu00008"	"Otu00016"	0.179116116211362	0.126063431373519
"114"	"Otu00009"	"Otu00016"	0.0914501565415281	0.430595468511247
"115"	"Otu00010"	"Otu00016"	-0.159220730271519	0.201987479943987
"116"	"Otu00011"	"Otu00016"	0.111548376419886	0.375621154101487
"117"	"Otu00012"	"Otu00016"	0.130402443503714	0.249785730138862
"118"	"Otu00013"	"Otu00016"	0.04908789345443	0.67446547110022
"119"	"Otu00014"	"Otu00016"	-0.0537767408072877	0.656037079978724
"120"	"Otu00015"	"Otu00016"	0.104851733080633	0.358908775240781
"121"	"Otu00001"	"Otu00017"	0.116263351069193	0.369969999977849
"122"	"Otu00002"	"Otu00017"	0.260269896664644	0.0437795528516591
"123"	"Otu00003"	"Otu00017"	-0.100466047797718	0.39580618489594
"124"	"Otu00004"	"Otu00017"	-0.170412452715182	0.159488667338362
"125"	"Otu00005"	"Otu00017"	0.0642107493082274	0.60720484093498
"126"	"Otu00006"	"Otu00017"	-0.161100558132207	0.18762452703146
"127"	"Otu00007"	"Otu00017"	-0.0310221007479903	0.797040615829304
"128"	"Otu00008"	"Otu00017"	-0.152004864233484	0.219106899454399
"129"	"Otu00009"	"Otu00017"	-0.161528903897916	0.187553818132609
"130"	"Otu00010"	"Otu00017"	-0.0644490992697109	0.625039308003184
"131"	"Otu00011"	"Otu00017"	-0.0451523640985731	0.734342429024387
